sample_id,income_vigs,DZ
stirling_wwtp_03_20,7,S01013046
stirling_wwtp_03_20,16,S01013049
stirling_wwtp_03_20,3,S01013053
stirling_wwtp_03_20,19,S01013050
stirling_wwtp_03_20,5,S01013051
stirling_wwtp_03_20,10,S01013045
stirling_wwtp_03_20,12,S01013048
stirling_wwtp_03_20,6,S01013052
stirling_wwtp_03_20,11,S01013042
stirling_wwtp_03_20,3,S01013043
stirling_wwtp_03_20,19,S01013044
stirling_wwtp_03_20,10,S01013054
stirling_wwtp_03_20,7,S01013055
stirling_wwtp_03_20,5,S01013056
stirling_wwtp_03_20,8,S01013066
stirling_wwtp_03_20,17,S01013062
stirling_wwtp_03_20,19,S01013029
stirling_wwtp_03_20,4,S01013030
stirling_wwtp_03_20,5,S01013031
stirling_wwtp_03_20,14,S01013032
stirling_wwtp_03_20,19,S01013028
stirling_wwtp_03_20,7,S01013035
stirling_wwtp_03_20,5,S01013034
stirling_wwtp_03_20,11,S01013033
stirling_wwtp_03_20,4,S01013036
stirling_wwtp_03_20,7,S01013064
stirling_wwtp_03_20,13,S01009122
stirling_wwtp_03_20,7,S01013065
stirling_wwtp_03_20,16,S01013047
stirling_wwtp_03_20,20,S01013025
stirling_wwtp_03_20,17,S01013039
stirling_wwtp_03_20,7,S01013026
stirling_wwtp_03_20,3,S01013027
stirling_wwtp_03_20,9,S01013040
stirling_wwtp_03_20,7,S01013038
stirling_wwtp_03_20,13,S01013037
stirling_wwtp_03_20,8,S01013041
stirling_wwtp_03_20,15,S01013059
stirling_wwtp_03_20,16,S01013058
stirling_wwtp_03_20,2,S01013057
stirling_wwtp_03_20,18,S01013023
stirling_wwtp_03_20,18,S01013061
stirling_wwtp_03_20,16,S01013024
stirling_wwtp_03_20,9,S01013022
stirling_wwtp_03_20,9,S01013020
stirling_wwtp_03_20,18,S01013019
stirling_wwtp_03_20,8,S01013021
stirling_wwtp_03_20,8,S01013070
stirling_wwtp_03_20,17,S01013071
stirling_wwtp_03_20,1,S01013075
stirling_wwtp_03_20,5,S01013073
stirling_wwtp_03_20,15,S01013067
stirling_wwtp_03_20,11,S01013069
stirling_wwtp_03_20,3,S01013068
stirling_wwtp_03_20,13,S01013109
stirling_wwtp_03_20,1,S01013074
stirling_wwtp_03_20,14,S01013091
stirling_wwtp_03_20,2,S01013072
stirling_wwtp_03_20,10,S01013092
stirling_wwtp_03_20,13,S01013090
stirling_wwtp_03_20,12,S01013060
stirling_wwtp_03_20,14,S01013063
stirling_wwtp_03_20,15,S01013018
stirling_wwtp_03_20,15,S01013110
stirling_wwtp_03_20,14,S01013016
stirling_wwtp_03_20,11,S01013017
stirling_wwtp_03_20,13,S01013014
stirling_wwtp_03_20,14,S01013111
stirling_wwtp_03_20,17,S01013010
stirling_wwtp_03_20,11,S01013117
stirling_wwtp_03_20,17,S01013118
stirling_wwtp_03_20,19,S01013083
stirling_wwtp_03_20,18,S01013087
stirling_wwtp_03_20,18,S01013093
stirling_wwtp_03_20,14,S01013086
stirling_wwtp_03_20,9,S01013085
stirling_wwtp_03_20,17,S01013084
stirling_wwtp_03_20,11,S01013089
stirling_wwtp_03_20,18,S01013088
stirling_wwtp_03_20,14,S01013107
stirling_wwtp_03_20,16,S01013076
stirling_wwtp_03_20,2,S01013077
stirling_wwtp_03_20,15,S01013079
stirling_wwtp_03_20,1,S01013078
stirling_wwtp_03_20,13,S01013080
stirling_wwtp_03_20,16,S01013082
stirling_wwtp_03_20,18,S01013081
kirkcaldy_wwtp_03_20,2,S01009473
kirkcaldy_wwtp_03_20,8,S01009479
kirkcaldy_wwtp_03_20,19,S01009478
kirkcaldy_wwtp_03_20,11,S01009477
kirkcaldy_wwtp_03_20,20,S01009475
kirkcaldy_wwtp_03_20,17,S01009476
kirkcaldy_wwtp_03_20,12,S01009526
kirkcaldy_wwtp_03_20,13,S01009480
kirkcaldy_wwtp_03_20,2,S01009472
kirkcaldy_wwtp_03_20,3,S01009474
kirkcaldy_wwtp_03_20,1,S01009471
kirkcaldy_wwtp_03_20,7,S01009484
kirkcaldy_wwtp_03_20,6,S01009527
kirkcaldy_wwtp_03_20,17,S01009530
kirkcaldy_wwtp_03_20,13,S01009529
kirkcaldy_wwtp_03_20,6,S01009528
kirkcaldy_wwtp_03_20,1,S01009534
kirkcaldy_wwtp_03_20,5,S01009522
kirkcaldy_wwtp_03_20,1,S01009535
kirkcaldy_wwtp_03_20,4,S01009533
kirkcaldy_wwtp_03_20,2,S01009524
kirkcaldy_wwtp_03_20,19,S01009532
kirkcaldy_wwtp_03_20,5,S01009521
kirkcaldy_wwtp_03_20,7,S01009536
kirkcaldy_wwtp_03_20,19,S01009538
kirkcaldy_wwtp_03_20,6,S01009537
kirkcaldy_wwtp_03_20,8,S01009544
kirkcaldy_wwtp_03_20,3,S01009531
kirkcaldy_wwtp_03_20,11,S01009541
kirkcaldy_wwtp_03_20,2,S01009540
kirkcaldy_wwtp_03_20,7,S01009539
kirkcaldy_wwtp_03_20,12,S01009519
kirkcaldy_wwtp_03_20,3,S01009547
kirkcaldy_wwtp_03_20,9,S01009483
kirkcaldy_wwtp_03_20,11,S01009481
kirkcaldy_wwtp_03_20,3,S01009525
kirkcaldy_wwtp_03_20,3,S01009509
kirkcaldy_wwtp_03_20,3,S01009523
kirkcaldy_wwtp_03_20,20,S01009495
kirkcaldy_wwtp_03_20,9,S01009482
kirkcaldy_wwtp_03_20,10,S01009486
kirkcaldy_wwtp_03_20,17,S01009493
kirkcaldy_wwtp_03_20,14,S01009494
kirkcaldy_wwtp_03_20,6,S01009485
kirkcaldy_wwtp_03_20,13,S01009457
kirkcaldy_wwtp_03_20,9,S01009488
kirkcaldy_wwtp_03_20,3,S01009487
kirkcaldy_wwtp_03_20,8,S01009499
kirkcaldy_wwtp_03_20,2,S01009504
kirkcaldy_wwtp_03_20,2,S01009505
kirkcaldy_wwtp_03_20,8,S01009443
kirkcaldy_wwtp_03_20,7,S01009507
kirkcaldy_wwtp_03_20,11,S01009506
kirkcaldy_wwtp_03_20,3,S01009508
kirkcaldy_wwtp_03_20,3,S01009500
kirkcaldy_wwtp_03_20,19,S01009501
kirkcaldy_wwtp_03_20,5,S01009502
kirkcaldy_wwtp_03_20,8,S01009497
kirkcaldy_wwtp_03_20,12,S01009520
kirkcaldy_wwtp_03_20,20,S01009518
kirkcaldy_wwtp_03_20,17,S01009510
kirkcaldy_wwtp_03_20,14,S01009512
kirkcaldy_wwtp_03_20,17,S01009513
kirkcaldy_wwtp_03_20,20,S01009511
kirkcaldy_wwtp_03_20,16,S01009514
kirkcaldy_wwtp_03_20,6,S01009503
kirkcaldy_wwtp_03_20,7,S01009516
kirkcaldy_wwtp_03_20,8,S01009496
kirkcaldy_wwtp_03_20,15,S01009517
kirkcaldy_wwtp_03_20,6,S01009515
kirkcaldy_wwtp_03_20,17,S01009498
galashiels_wwtp_11_20,7,S01012275
galashiels_wwtp_11_20,7,S01012278
galashiels_wwtp_11_20,9,S01012281
galashiels_wwtp_11_20,19,S01012279
galashiels_wwtp_11_20,10,S01012276
galashiels_wwtp_11_20,19,S01012280
galashiels_wwtp_11_20,17,S01012273
galashiels_wwtp_11_20,8,S01012277
galashiels_wwtp_11_20,12,S01012271
galashiels_wwtp_11_20,13,S01012285
galashiels_wwtp_11_20,11,S01012274
galashiels_wwtp_11_20,4,S01012288
galashiels_wwtp_11_20,1,S01012287
galashiels_wwtp_11_20,9,S01012286
galashiels_wwtp_11_20,20,S01012297
galashiels_wwtp_11_20,20,S01012272
galashiels_wwtp_11_20,6,S01012284
galashiels_wwtp_11_20,13,S01012282
galashiels_wwtp_11_20,7,S01012283
galashiels_wwtp_11_20,13,S01012262
galashiels_wwtp_11_20,20,S01012379
galashiels_wwtp_11_20,11,S01012295
galashiels_wwtp_11_20,9,S01012294
galashiels_wwtp_11_20,11,S01012293
galashiels_wwtp_11_20,13,S01012289
galashiels_wwtp_11_20,13,S01012377
galashiels_wwtp_11_20,15,S01012268
galashiels_wwtp_11_20,9,S01012290
galashiels_wwtp_11_20,15,S01012346
galashiels_wwtp_11_20,15,S01012376
galashiels_wwtp_11_20,14,S01012291
galashiels_wwtp_11_20,12,S01012345
galashiels_wwtp_11_20,16,S01012292
hawick_wwtp_11_20,4,S01012363
hawick_wwtp_11_20,6,S01012371
hawick_wwtp_11_20,19,S01012370
hawick_wwtp_11_20,20,S01012369
hawick_wwtp_11_20,10,S01012355
hawick_wwtp_11_20,9,S01012354
hawick_wwtp_11_20,5,S01012372
hawick_wwtp_11_20,9,S01012373
hawick_wwtp_11_20,12,S01012368
hawick_wwtp_11_20,6,S01012375
hawick_wwtp_11_20,10,S01012374
hawick_wwtp_11_20,14,S01012357
hawick_wwtp_11_20,17,S01012378
hawick_wwtp_11_20,19,S01012359
hawick_wwtp_11_20,13,S01012356
hawick_wwtp_11_20,3,S01012361
hawick_wwtp_11_20,2,S01012360
hawick_wwtp_11_20,19,S01012362
hawick_wwtp_11_20,19,S01012358
hawick_wwtp_11_20,12,S01012367
hawick_wwtp_11_20,20,S01012341
hawick_wwtp_11_20,7,S01012366
hawick_wwtp_11_20,14,S01012365
hawick_wwtp_11_20,6,S01012364
east_calder_wwtp_11_20,14,S01013290
east_calder_wwtp_11_20,13,S01013291
east_calder_wwtp_11_20,17,S01013289
east_calder_wwtp_11_20,18,S01008423
east_calder_wwtp_11_20,14,S01013298
east_calder_wwtp_11_20,15,S01013292
east_calder_wwtp_11_20,12,S01008997
east_calder_wwtp_11_20,10,S01013365
east_calder_wwtp_11_20,14,S01013367
east_calder_wwtp_11_20,9,S01013364
east_calder_wwtp_11_20,19,S01013366
east_calder_wwtp_11_20,11,S01013253
east_calder_wwtp_11_20,19,S01013254
east_calder_wwtp_11_20,9,S01013252
east_calder_wwtp_11_20,5,S01013371
east_calder_wwtp_11_20,3,S01013370
east_calder_wwtp_11_20,7,S01013378
east_calder_wwtp_11_20,10,S01013379
east_calder_wwtp_11_20,2,S01013369
east_calder_wwtp_11_20,12,S01013250
east_calder_wwtp_11_20,6,S01011439
east_calder_wwtp_11_20,19,S01013380
east_calder_wwtp_11_20,11,S01013245
east_calder_wwtp_11_20,4,S01013244
east_calder_wwtp_11_20,8,S01013243
east_calder_wwtp_11_20,3,S01013247
east_calder_wwtp_11_20,11,S01013246
east_calder_wwtp_11_20,6,S01013249
east_calder_wwtp_11_20,3,S01013248
east_calder_wwtp_11_20,19,S01013479
east_calder_wwtp_11_20,20,S01013481
east_calder_wwtp_11_20,17,S01013472
east_calder_wwtp_11_20,4,S01013468
east_calder_wwtp_11_20,15,S01013467
east_calder_wwtp_11_20,19,S01013465
east_calder_wwtp_11_20,4,S01013470
east_calder_wwtp_11_20,8,S01013477
east_calder_wwtp_11_20,19,S01013480
east_calder_wwtp_11_20,18,S01013473
east_calder_wwtp_11_20,9,S01013476
east_calder_wwtp_11_20,6,S01013459
east_calder_wwtp_11_20,7,S01013460
east_calder_wwtp_11_20,17,S01013474
east_calder_wwtp_11_20,10,S01013478
east_calder_wwtp_11_20,12,S01013302
east_calder_wwtp_11_20,8,S01013300
east_calder_wwtp_11_20,15,S01013475
east_calder_wwtp_11_20,11,S01013404
east_calder_wwtp_11_20,10,S01013288
east_calder_wwtp_11_20,10,S01013303
east_calder_wwtp_11_20,9,S01013297
east_calder_wwtp_11_20,5,S01013296
east_calder_wwtp_11_20,11,S01013294
east_calder_wwtp_11_20,20,S01013295
east_calder_wwtp_11_20,8,S01013299
east_calder_wwtp_11_20,20,S01013287
east_calder_wwtp_11_20,20,S01013285
east_calder_wwtp_11_20,17,S01013286
east_calder_wwtp_11_20,17,S01013293
east_calder_wwtp_11_20,17,S01013284
east_calder_wwtp_11_20,18,S01013276
east_calder_wwtp_11_20,13,S01013309
east_calder_wwtp_11_20,5,S01013312
east_calder_wwtp_11_20,1,S01013306
east_calder_wwtp_11_20,3,S01013304
east_calder_wwtp_11_20,5,S01013305
east_calder_wwtp_11_20,5,S01013301
east_calder_wwtp_11_20,4,S01013308
east_calder_wwtp_11_20,4,S01013307
east_calder_wwtp_11_20,14,S01013330
east_calder_wwtp_11_20,8,S01013310
east_calder_wwtp_11_20,6,S01013314
east_calder_wwtp_11_20,5,S01013323
east_calder_wwtp_11_20,7,S01013313
east_calder_wwtp_11_20,4,S01013311
east_calder_wwtp_11_20,20,S01013346
east_calder_wwtp_11_20,13,S01013269
east_calder_wwtp_11_20,9,S01013283
east_calder_wwtp_11_20,6,S01013267
east_calder_wwtp_11_20,5,S01013281
east_calder_wwtp_11_20,6,S01013327
east_calder_wwtp_11_20,3,S01013324
east_calder_wwtp_11_20,5,S01013326
east_calder_wwtp_11_20,4,S01013328
east_calder_wwtp_11_20,14,S01013347
east_calder_wwtp_11_20,8,S01013348
east_calder_wwtp_11_20,18,S01013315
east_calder_wwtp_11_20,5,S01013329
east_calder_wwtp_11_20,4,S01013278
east_calder_wwtp_11_20,3,S01013282
east_calder_wwtp_11_20,5,S01013279
east_calder_wwtp_11_20,12,S01013280
east_calder_wwtp_11_20,20,S01013318
east_calder_wwtp_11_20,8,S01013277
east_calder_wwtp_11_20,10,S01013268
east_calder_wwtp_11_20,9,S01013322
east_calder_wwtp_11_20,5,S01013321
east_calder_wwtp_11_20,11,S01013319
east_calder_wwtp_11_20,17,S01013320
east_calder_wwtp_11_20,2,S01013325
east_calder_wwtp_11_20,14,S01013316
east_calder_wwtp_11_20,20,S01013317
east_calder_wwtp_11_20,3,S01013335
east_calder_wwtp_11_20,18,S01013341
east_calder_wwtp_11_20,2,S01013336
east_calder_wwtp_11_20,12,S01013337
east_calder_wwtp_11_20,17,S01013338
east_calder_wwtp_11_20,12,S01013349
east_calder_wwtp_11_20,3,S01013353
east_calder_wwtp_11_20,3,S01013344
east_calder_wwtp_11_20,3,S01013342
east_calder_wwtp_11_20,19,S01013345
east_calder_wwtp_11_20,9,S01013343
east_calder_wwtp_11_20,7,S01013334
east_calder_wwtp_11_20,5,S01013350
